Indicateurs État


Date de l'export;04/05/2026
Année de la dernière période à valider;2026


Nom Association;Code Association;BA;T1 2026 - Statut;T1 2026 - Volumes distribué en Kg net- Valeurs calculées;T1 2026 - Volumes distribué en Kg net - Valeurs retenues Asso;T1 2026 - Volumes distribué en Kg net - Valeurs retenues BA;T1 2026 - Nb foyers - Valeurs calculées;T1 2026 - Nb foyers - Valeurs retenues Asso;T1 2026 - Nb foyers - Valeurs retenues BA;T1 2026 - Nb bénéficiaires - Valeurs calculées;T1 2026 - Nb bénéficiaires - Valeurs retenues Asso;T1 2026 - Nb bénéficiaires - Valeurs retenues BA;T1 2026 - Nb passages - Valeurs calculées;T1 2026 - Nb passages - Valeurs retenues Asso;T1 2026 - Nb passages - Valeurs retenues BA;T1 2026 - Motif écart Asso;T1 2026 - Motif écart BA;T1 2026 - Dernière modification BA;T2 2026 - Statut;T2 2026 - Volumes distribué en Kg net- Valeurs calculées;T2 2026 - Volumes distribué en Kg net - Valeurs retenues Asso;T2 2026 - Volumes distribué en Kg net - Valeurs retenues BA;T2 2026 - Nb foyers - Valeurs calculées;T2 2026 - Nb foyers - Valeurs retenues Asso;T2 2026 - Nb foyers - Valeurs retenues BA;T2 2026 - Nb bénéficiaires - Valeurs calculées;T2 2026 - Nb bénéficiaires - Valeurs retenues Asso;T2 2026 - Nb bénéficiaires - Valeurs retenues BA;T2 2026 - Nb passages - Valeurs calculées;T2 2026 - Nb passages - Valeurs retenues Asso;T2 2026 - Nb passages - Valeurs retenues BA;T2 2026 - Motif écart Asso;T2 2026 - Motif écart BA;T2 2026 - Dernière modification BA;T3 2026 - Statut;T3 2026 - Volumes distribué en Kg net- Valeurs calculées;T3 2026 - Volumes distribué en Kg net - Valeurs retenues Asso;T3 2026 - Volumes distribué en Kg net - Valeurs retenues BA;T3 2026 - Nb foyers - Valeurs calculées;T3 2026 - Nb foyers - Valeurs retenues Asso;T3 2026 - Nb foyers - Valeurs retenues BA;T3 2026 - Nb bénéficiaires - Valeurs calculées;T3 2026 - Nb bénéficiaires - Valeurs retenues Asso;T3 2026 - Nb bénéficiaires - Valeurs retenues BA;T3 2026 - Nb passages - Valeurs calculées;T3 2026 - Nb passages - Valeurs retenues Asso;T3 2026 - Nb passages - Valeurs retenues BA;T3 2026 - Motif écart Asso;T3 2026 - Motif écart BA;T3 2026 - Dernière modification BA;T4 2026 - Statut;T4 2026 - Volumes distribué en Kg net- Valeurs calculées;T4 2026 - Volumes distribué en Kg net - Valeurs retenues Asso;T4 2026 - Volumes distribué en Kg net - Valeurs retenues BA;T4 2026 - Nb foyers - Valeurs calculées;T4 2026 - Nb foyers - Valeurs retenues Asso;T4 2026 - Nb foyers - Valeurs retenues BA;T4 2026 - Nb bénéficiaires - Valeurs calculées;T4 2026 - Nb bénéficiaires - Valeurs retenues Asso;T4 2026 - Nb bénéficiaires - Valeurs retenues BA;T4 2026 - Nb passages - Valeurs calculées;T4 2026 - Nb passages - Valeurs retenues Asso;T4 2026 - Nb passages - Valeurs retenues BA;T4 2026 - Motif écart Asso;T4 2026 - Motif écart BA;T4 2026 - Dernière modification BA;Année 2026 - Statut;Année 2026 - Volumes distribué en Kg net- Valeurs calculées;Année 2026 - Volumes distribué en Kg net - Valeurs retenues Asso;Année 2026 - Volumes distribué en Kg net - Valeurs retenues BA;Année 2026 - Nb foyers - Valeurs calculées;Année 2026 - Nb foyers - Valeurs retenues Asso;Année 2026 - Nb foyers - Valeurs retenues BA;Année 2026 - Nb bénéficiaires - Valeurs calculées;Année 2026 - Nb bénéficiaires - Valeurs retenues Asso;Année 2026 - Nb bénéficiaires - Valeurs retenues BA;Année 2026 - Nb passages - Valeurs calculées;Année 2026 - Nb passages - Valeurs retenues Asso;Année 2026 - Nb passages - Valeurs retenues BA;Année 2026 - Bénéficiaires - âge - 0-3 ans - Valeurs calculées;Année 2026 - Bénéficiaires - âge - 0-3 ans - Valeurs retenues Asso;Année 2026 - Bénéficiaires - âge - 0-3 ans - Valeurs retenues BA;Année 2026 - Bénéficiaires - âge - 4-14 ans - Valeurs calculées;Année 2026 - Bénéficiaires - âge - 4-14 ans - Valeurs retenues Asso;Année 2026 - Bénéficiaires - âge - 4-14 ans - Valeurs retenues BA;Année 2026 - Bénéficiaires - âge - 15-25 ans - Valeurs calculées;Année 2026 - Bénéficiaires - âge - 15-25 ans - Valeurs retenues Asso;Année 2026 - Bénéficiaires - âge - 15-25 ans - Valeurs retenues BA;Année 2026 - Bénéficiaires - âge - 26-64 ans - Valeurs calculées;Année 2026 - Bénéficiaires - âge - 26-64 ans - Valeurs retenues Asso;Année 2026 - Bénéficiaires - âge - 26-64 ans - Valeurs retenues BA;Année 2026 - Bénéficiaires - âge - 65 ans ou plus - Valeurs calculées;Année 2026 - Bénéficiaires - âge - 65 ans ou plus - Valeurs retenues Asso;Année 2026 - Bénéficiaires - âge - 65 ans ou plus - Valeurs retenues BA;Année 2026 - Bénéficiaires - sexe - masculin - Valeurs calculées;Année 2026 - Bénéficiaires - sexe - masculin - Valeurs retenues Asso;Année 2026 - Bénéficiaires - sexe - masculin - Valeurs retenues BA;Année 2026 - Bénéficiaires - sexe - féminin - Valeurs calculées;Année 2026 - Bénéficiaires - sexe - féminin - Valeurs retenues Asso;Année 2026 - Bénéficiaires - sexe - féminin - Valeurs retenues BA;Année 2026 - Motif écart Asso;Année 2026 - Motif écart BA;Année 2026 - Dernière modification BA
Epicerie Pain d'Epices;01380025;38000 B.A. de l'Isère;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
A.H.F.L.G.G;01380004;38000 B.A. de l'Isère;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
C.H.R.S La Relève (lundi);01380010;38000 B.A. de l'Isère;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
FJT L' Obiou;01380028;38000 B.A. de l'Isère;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
Résidence sociale Père Gaspard;01380029;38000 B.A. de l'Isère;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
Pin de Vie;01380044;38000 B.A. de l'Isère;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
CCAS Romagnieu;02380007;38000 B.A. de l'Isère;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
Résidents d'ADOMA et AMIS Rive;01380002;38000 B.A. de l'Isère;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
Comité Solidarité Voiron;01380015;38000 B.A. de l'Isère;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
Congo Malebo;01380016;38000 B.A. de l'Isère;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;;;;Non reçu;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
